,id,Title,Writer,Readers,Total Comments,Genre,Grade,Days of Week,Total Episodes,Description
23,57668776,마법학교 마법사로 살아가는 법,글쓰는기계,34.1만명,2.1만,기다무소설판타지,전체이용가,매일 연재,155,"대학원생 이한.
다른 세계 마법명가의 막내로 태어나다.

-다시는 학교에 들어가지 않겠다!

'너는 무엇을 목표로 하는가?'
'평생 놀고 먹...'
'그래. 너도 스스로 네 재능을 느끼고 있을 것이다. 마법학교 에인로가드로 가라!'
'가주님!'

마법학교를 졸업하면 평생이 보장된다.
최선을 다해 졸업하라!"
24,55706014,사신표월,우각,56.1만명,3.9만,기다무소설무협,전체이용가,매일 연재 | 독점,566,"강호 가장 깊은 곳에 그가 있다.
두 눈 부릅떠라.
심연으로 끌려가지 않으려면."
25,57352245,2레벨로 회귀한 무신,염비,47.2만명,2.5만,기다무소설판타지,전체이용가,"월, 화, 수, 목, 금 연재 | 독점",222,"『내 상태창 2개』, 『1000년 만에 귀환한 검신』 염비의 야심작!

『2레벨로 회귀한 무신』

[NO. 4212.’인류’, 강등전 패배.]
[인류의 삭제를 시작합니다.]

최종 미션을 실패하고 멸망해 버린 지구
최후의 생존자이자 무성(武聖)으로 불리던 성지한
죽음을 앞두고 '최초의 시기'로 회귀하게 되는데

-저 윤세진, 오늘 부로 일본인으로 살기로 했습니다!
-이제부터 이토 류헤이로 불러 주십시오.

눈을 뜨자마자 보인 건 대한민국의 검왕으로 불리던
제 매형의 매국 소식이었다

""……일단 저 새끼부터 조진다.""

복수는 철저하게, 계획은 빈틈없이
멸망의 미래를 구원하고 평화를 쟁취해 낼
대한민국의 무신, 성지한의 거침없는 행보를 주목하라!"
26,57948732,환생한 암살자는 검술 천재,글개미,41.5만명,1.8만,기다무소설판타지,전체이용가,"월, 화, 수, 목, 금 연재 | 독점",187,"평생을 목줄 맨 개로 살았다.

새롭게 얻은 삶.

목줄은 끊어졌고, 분노는 남았다. 

이젠 내 의지로 살고, 내 발로 걷겠다. 

앞을 막는다면 신이라고 할 지라도 베어버리리라."
27,53366985,얼어붙은 플레이어의 귀환,제리엠,109.5만명,11.3만,기다무소설판타지,전체이용가,"수, 목, 금, 토 연재",635,"세상이 바뀌고 5년.
최종보스가 나타났다.

[지구 에어리어 최후의 보스, 서리여왕이 출현합니다.]

최후의 보스!
그녀만 처치하면 예전처럼 살 수 있다!

인류 최고의 플레이어, 어둑서니 서준호를 포함한 다섯 명의 플레이어가 마침내 서리여왕을 쓰러뜨리지만...
그들은 기나긴 잠에 빠지는 혹독한 대가를 치뤄야했다.
그로부터 25년 후.

“2층이라니? 서리여왕을 죽이면 끝나는 거 아니었어?”

어둑서니가 잠에서 깨어났다."
28,54418049,1년차 만렙 매니저,현신,70.1만명,6.2만,기다무소설현판,전체이용가,매일 연재,794,"[독점연재]

연예계 미다스의 손, 정윤호.
1년 차 매니저로 회귀하다.

거칠 것 없는 '1년 차 만렙 매니저'의 삶은, 
이제부터 시작이다."
29,57668776,마법학교 마법사로 살아가는 법,글쓰는기계,34.1만명,2.1만,기다무소설판타지,전체이용가,매일 연재,155,"대학원생 이한.
다른 세계 마법명가의 막내로 태어나다.

-다시는 학교에 들어가지 않겠다!

'너는 무엇을 목표로 하는가?'
'평생 놀고 먹...'
'그래. 너도 스스로 네 재능을 느끼고 있을 것이다. 마법학교 에인로가드로 가라!'
'가주님!'

마법학교를 졸업하면 평생이 보장된다.
최선을 다해 졸업하라!"
30,55706014,사신표월,우각,56.1만명,3.9만,기다무소설무협,전체이용가,매일 연재 | 독점,566,"강호 가장 깊은 곳에 그가 있다.
두 눈 부릅떠라.
심연으로 끌려가지 않으려면."
31,57628917,암흑명가 천재 망나니가 되었다,유인(流人),43.1만명,1.2만,기다무소설판타지,전체이용가,"월, 화, 수, 금, 토 연재 | 독점",209,"용사 일행이 되어 개고생한 끝에 죽음을 맞았다.

'제발, 다음 생은 부잣집 아들내미로....'

***

정신을 차려보니, 엄청난 금수저 가문의 도련님이 되었다.

크리스티앙 반 배런 카자르. 
마도 제국의 암흑 명가의 유명한 망나니.

'으아악!! 이게 뭐야!!'

크리스가 비참한 최후를 맞이하기 전까지 고작 2년.
2년을 넘겨도 세계 멸망까지 막아야 한다.
살아남아 부귀영화를 누릴 수 있는 방법은 단 하나.

이 몸의 가문인 암흑 명가를 손에 넣고 직접 마왕이 되는 것뿐.
끔찍한 상황이지만, 해볼만 했다.

왜?

'난 천재이니까!'"
32,56505778,천재 궁수의 스트리밍,멍멍킴,64.2만명,4.8만,기다무소설판타지,전체이용가,"월, 화, 수, 목, 금 연재 | 독점",337,"선수권 대회 최연소 우승, 양궁 유망주.

승승장구 하는 줄 알았으나 비운의 사고로 
다시는 활을 쥘 수 없게 된 몰락한 천재 양궁 선수 유상현!

낙하산으로 들어간 회사에서마저 잘린 그는,
먹고살기 위해 게임 스트리머, 아몬드가 되는데...

[활을 선택하셨습니다.]

피융! 푸욱!

[헤드샷!]

“보스 원래 한 방이에요?”

미친 재능이 다시금 빛을 발한다!

28살. 고졸. 백수.
특기는 양궁.

방송 천재가 되어 돌아온, 그의 유쾌한 반란이 시작된다?!

[천재 궁수의 스트리밍]"
